online_shop,product_id,product_key,shop_name,view_count,sold_count,rating_average,review_count,kategori_penjualan
tokopedia,1490063985,m231-t-shirt-grafis-pendek-warna-navy-1838-m,m231official,8199,184,4.9,100,Atas
tokopedia,1631638223,kaos-unisex-erigo-t-shirt-spinner-cotton-combed-navy-s,erigo,7735,184,4.8,118,Atas
tokopedia,980090954,kaos-kerah-polo-shirt-berkerah-polos-grosir-pria-cowok-murah,kayser,8779,186,4.6,45,Atas
tokopedia,1634227315,kaos-unisex-erigo-t-shirt-saddle-up-cotton-combed-black-s,erigo,12132,181,4.9,124,Atas
tokopedia,1628572068,kemeja-unisex-erigo-short-shirt-nute-katun-olive-s,erigo,19946,180,4.7,118,Atas
tokopedia,1673661008,kaos-unisex-erigo-t-shirt-sakasu-cotton-combed-black-s,erigo,10187,179,4.8,112,Atas
tokopedia,1027313250,kayser-original-12-polymess-kaos-tshirt-running-baju-olahraga-gym-nike-biru-l,kayser,13581,179,4.6,67,Atas
tokopedia,1221703529,dk-daily-active-wear-tri-colors-shirt-blue-regular-fit-s,duraking,11715,178,4.8,124,Atas
tokopedia,1634044750,kaos-unisex-erigo-t-shirt-taigafu-dark-cotton-combed-grey-s,erigo,9288,175,4.9,105,Atas
tokopedia,341816755,gregor-man-baju-kemeja-polos-pria-lengan-pendek-kemeja-casual-pria-navy-l,fortklass,24472,177,4.5,68,Atas
tokopedia,609538037,kale-arthur-kaos-pria-kale-clothing-t-shirt-cotton-premium-green-xl,kaleclothing,4385,176,4.9,129,Atas
tokopedia,1684922967,baju-atasan-pria-kaos-cowok-lengan-panjang-roge-fashion-distro-terbaru-abu-abu-standart,queenlabell,12079,170,4.2,87,Atas
tokopedia,1634131858,kaos-unisex-erigo-t-shirt-summer-peace-cotton-combed-navy-s,erigo,7617,175,4.8,121,Atas
tokopedia,1633707636,kaos-unisex-erigo-t-shirt-yucaipa-cotton-combed-olive-s,erigo,3853,170,4.8,104,Atas
tokopedia,756830864,tiento-polo-shirt-true-basic-hdc-black-baju-kaos-kerah-lengan-panjang-xl,tiento,14519,173,4.8,119,Atas
tokopedia,1636080890,kaos-unisex-erigo-t-shirt-ride-forever-cotton-combed-navy-s,erigo,9023,174,4.9,115,Atas
tokopedia,1486276245,kaos-polos-kaos-pria-baju-pria-atasan-pria-kaos-premium-cotton-white-s,dailystuffjakarta1,3115,173,4.8,48,Atas
tokopedia,1649937487,kaos-unisex-erigo-t-shirt-ruler-the-sky-cotton-combed-black-m,erigo,5841,171,4.9,98,Atas
tokopedia,467943215,tigrehood-logo-black-t-shirt-m,tigrehood,20626,173,4.9,88,Atas
tokopedia,1630951381,kaos-unisex-erigo-t-shirt-hungry-tiger-cotton-combed-white-m,erigo,7996,173,4.9,114,Atas
tokopedia,267574763,baju-atasan-kemeja-baju-koko-baju-gamis-anak-remaja-pria-laki-zhaf,zafran-cloth,15400,167,4.8,77,Atas
